GCA_001766905.1	Acidobacteria bacterium RBG_13_68_16
GCA_001784895.1	Candidatus Moranbacteria bacterium
GCA_001784965.1	Candidatus Moranbacteria bacterium
GCA_001784885.1	Candidatus Moranbacteria bacterium
GCA_001784955.1	Candidatus Moranbacteria bacterium
GCA_001784975.1	Candidatus Moranbacteria bacterium
GCA_001785005.1	Candidatus Moranbacteria bacterium
GCA_001785035.1	Candidatus Muproteobacteria bacterium
GCA_001785045.1	Candidatus Muproteobacteria bacterium
GCA_001785085.1	Candidatus Muproteobacteria bacterium
GCA_001786655.1	Candidatus Muproteobacteria bacterium
GCA_001785055.1	Candidatus Muproteobacteria bacterium
GCA_001785115.1	Candidatus Muproteobacteria bacterium
GCA_001786665.1	Candidatus Muproteobacteria bacterium
GCA_001786695.1	Candidatus Muproteobacteria bacterium
GCA_001785125.1	Candidatus Muproteobacteria bacterium
GCA_001785175.1	Candidatus Muproteobacteria bacterium
GCA_001785155.1	Candidatus Muproteobacteria bacterium
GCA_001786715.1	Candidatus Muproteobacteria bacterium
GCA_001785195.1	Candidatus Muproteobacteria bacterium
GCA_001785205.1	Candidatus Muproteobacteria bacterium
GCA_001819145.1	Candidatus Nealsonbacteria bacterium
GCA_001819175.1	Candidatus Nealsonbacteria bacterium
GCA_001819195.1	Candidatus Nealsonbacteria bacterium
GCA_001821455.1	Candidatus Nealsonbacteria bacterium
GCA_001819215.1	Candidatus Nealsonbacteria bacterium
GCA_001819235.1	Candidatus Nealsonbacteria bacterium
GCA_001819255.1	Candidatus Nealsonbacteria bacterium
GCA_001819265.1	Candidatus Nealsonbacteria bacterium
GCA_001819295.1	Candidatus Nealsonbacteria bacterium
GCA_001819315.1	Candidatus Nealsonbacteria bacterium
GCA_001821475.1	Candidatus Nealsonbacteria bacterium
GCA_001821485.1	Candidatus Nealsonbacteria bacterium
GCA_001819335.1	Candidatus Nealsonbacteria bacterium
GCA_001821505.1	Candidatus Nealsonbacteria bacterium
GCA_001819345.1	Candidatus Nealsonbacteria bacterium
GCA_001821535.1	Candidatus Nealsonbacteria bacterium
GCA_001819375.1	Candidatus Nealsonbacteria bacterium
GCA_001821555.1	Candidatus Nealsonbacteria bacterium
GCA_001821575.1	Candidatus Nealsonbacteria bacterium
GCA_001821585.1	Candidatus Nealsonbacteria bacterium
GCA_001819455.1	Candidatus Niyogibacteria bacterium
GCA_001819395.1	Candidatus Niyogibacteria bacterium
GCA_001819415.1	Candidatus Niyogibacteria bacterium
GCA_001821615.1	Candidatus Niyogibacteria bacterium
GCA_001786735.1	Candidatus Nomurabacteria bacterium
GCA_001785215.1	Candidatus Nomurabacteria bacterium
GCA_001786745.1	Candidatus Nomurabacteria bacterium
GCA_001785255.1	Candidatus Nomurabacteria bacterium
GCA_001786765.1	Candidatus Nomurabacteria bacterium
GCA_001786795.1	Candidatus Nomurabacteria bacterium
GCA_001786805.1	Candidatus Nomurabacteria bacterium
GCA_001785275.1	Candidatus Nomurabacteria bacterium
GCA_001786825.1	Candidatus Nomurabacteria bacterium
GCA_001785285.1	Candidatus Nomurabacteria bacterium
GCA_001785295.1	Candidatus Nomurabacteria bacterium
GCA_001786835.1	Candidatus Nomurabacteria bacterium
GCA_001785325.1	Candidatus Nomurabacteria bacterium
GCA_001785355.1	Candidatus Nomurabacteria bacterium
GCA_001785365.1	Candidatus Nomurabacteria bacterium
GCA_001785375.1	Candidatus Nomurabacteria bacterium
GCA_001785415.1	Candidatus Nomurabacteria bacterium
GCA_001785435.1	Candidatus Nomurabacteria bacterium
GCA_001785445.1	Candidatus Nomurabacteria bacterium
GCA_001785465.1	Candidatus Nomurabacteria bacterium
GCA_001785485.1	Candidatus Nomurabacteria bacterium
GCA_001785515.1	Candidatus Nomurabacteria bacterium
GCA_001786875.1	Candidatus Nomurabacteria bacterium
GCA_001785525.1	Candidatus Nomurabacteria bacterium
GCA_001785545.1	Candidatus Nomurabacteria bacterium
GCA_001785575.1	Candidatus Nomurabacteria bacterium
GCA_001786885.1	Candidatus Nomurabacteria bacterium
GCA_001785595.1	Candidatus Nomurabacteria bacterium
GCA_001785625.1	Candidatus Nomurabacteria bacterium
GCA_001785615.1	Candidatus Nomurabacteria bacterium
GCA_001785635.1	Candidatus Nomurabacteria bacterium
GCA_001786905.1	Candidatus Nomurabacteria bacterium
GCA_001785675.1	Candidatus Nomurabacteria bacterium
GCA_001785695.1	Candidatus Nomurabacteria bacterium
GCA_001786925.1	Candidatus Nomurabacteria bacterium
GCA_001786955.1	Candidatus Nomurabacteria bacterium
GCA_001786965.1	Candidatus Nomurabacteria bacterium
GCA_001786995.1	Candidatus Nomurabacteria bacterium
GCA_001785735.1	Candidatus Nomurabacteria bacterium
GCA_001785725.1	Candidatus Nomurabacteria bacterium
GCA_001785715.1	Candidatus Nomurabacteria bacterium
GCA_001785775.1	Candidatus Nomurabacteria bacterium
GCA_001785785.1	Candidatus Nomurabacteria bacterium
GCA_001785805.1	Candidatus Nomurabacteria bacterium
GCA_001787005.1	Candidatus Nomurabacteria bacterium
GCA_001785815.1	Candidatus Nomurabacteria bacterium
GCA_001785855.1	Candidatus Nomurabacteria bacterium
GCA_001787035.1	Candidatus Nomurabacteria bacterium
GCA_001785865.1	Candidatus Nomurabacteria bacterium
GCA_001785875.1	Candidatus Nomurabacteria bacterium
GCA_001785895.1	Candidatus Nomurabacteria bacterium
GCA_001787055.1	Candidatus Nomurabacteria bacterium
GCA_001785935.1	Candidatus Nomurabacteria bacterium
GCA_001785985.1	Candidatus Nomurabacteria bacterium
GCA_001785965.1	Candidatus Nomurabacteria bacterium
GCA_001785955.1	Candidatus Nomurabacteria bacterium
GCA_001786015.1	Candidatus Nomurabacteria bacterium
GCA_001787075.1	Candidatus Nomurabacteria bacterium
GCA_001786035.1	Candidatus Nomurabacteria bacterium
GCA_001787085.1	Candidatus Nomurabacteria bacterium
GCA_001786045.1	Candidatus Nomurabacteria bacterium
GCA_001786055.1	Candidatus Nomurabacteria bacterium
GCA_001786095.1	Candidatus Nomurabacteria bacterium
GCA_001786115.1	Candidatus Nomurabacteria bacterium
GCA_001786125.1	Candidatus Nomurabacteria bacterium
GCA_001786145.1	Candidatus Nomurabacteria bacterium
GCA_001786175.1	Candidatus Nomurabacteria bacterium
GCA_001786195.1	Candidatus Nomurabacteria bacterium
GCA_001787115.1	Candidatus Nomurabacteria bacterium
GCA_001787125.1	Candidatus Nomurabacteria bacterium
GCA_001786225.1	Candidatus Nomurabacteria bacterium
GCA_001787155.1	Candidatus Nomurabacteria bacterium
GCA_001787165.1	Candidatus Nomurabacteria bacterium
GCA_001787195.1	Candidatus Nomurabacteria bacterium
GCA_001786215.1	Candidatus Nomurabacteria bacterium
GCA_001786255.1	Candidatus Nomurabacteria bacterium
GCA_001787205.1	Candidatus Nomurabacteria bacterium
GCA_001786275.1	Candidatus Nomurabacteria bacterium
GCA_001787235.1	Candidatus Nomurabacteria bacterium
GCA_001786295.1	Candidatus Nomurabacteria bacterium
GCA_001786325.1	Candidatus Nomurabacteria bacterium
GCA_001786315.1	Candidatus Nomurabacteria bacterium
GCA_001786355.1	Candidatus Nomurabacteria bacterium
GCA_001787245.1	Candidatus Nomurabacteria bacterium
GCA_001787275.1	Candidatus Nomurabacteria bacterium
GCA_001786365.1	Candidatus Nomurabacteria bacterium
GCA_001786405.1	Candidatus Nomurabacteria bacterium
GCA_001787285.1	Candidatus Pacearchaeota archaeon
GCA_001786395.1	Candidatus Pacearchaeota archaeon
GCA_001786425.1	Candidatus Pacearchaeota archaeon
GCA_001786415.1	Candidatus Pacearchaeota archaeon
GCA_001787315.1	Candidatus Pacebacteria bacterium
GCA_001786475.1	Candidatus Pacebacteria bacterium
GCA_001786485.1	Candidatus Pacebacteria bacterium
GCA_001787385.1	Candidatus Pacebacteria bacterium
GCA_001787405.1	Candidatus Pacebacteria bacterium
GCA_001788645.1	Candidatus Pacebacteria bacterium
GCA_001788675.1	Candidatus Pacebacteria bacterium
GCA_001787375.1	Candidatus Pacebacteria bacterium
GCA_001787395.1	Candidatus Pacebacteria bacterium
GCA_001787455.1	Candidatus Peregrinibacteria bacterium
GCA_001787475.1	Candidatus Peregrinibacteria bacterium
GCA_001788685.1	Candidatus Peregrinibacteria bacterium
GCA_001788715.1	Candidatus Peregrinibacteria bacterium
GCA_001788725.1	Candidatus Peregrinibacteria bacterium
GCA_001788755.1	Candidatus Peregrinibacteria bacterium
GCA_001788765.1	Candidatus Peregrinibacteria bacterium
GCA_001788795.1	Candidatus Peregrinibacteria bacterium
GCA_001788805.1	Candidatus Peregrinibacteria bacterium
GCA_001787465.1	Candidatus Peregrinibacteria bacterium
GCA_001788835.1	Candidatus Peregrinibacteria bacterium
GCA_001788845.1	Candidatus Peregrinibacteria bacterium
GCA_001788885.1	Candidatus Peregrinibacteria bacterium
GCA_001788875.1	Candidatus Peregrinibacteria bacterium
GCA_001430905.1	- Candidatus Peribacter
GCA_001430885.1	- Candidatus Peribacter
GCA_001430845.1	- Candidatus Peribacter
GCA_001430805.1	- Candidatus Peribacter
GCA_001430755.1	- Candidatus Peribacter
GCA_001787485.1	Candidatus Peribacteria bacterium
GCA_001787535.1	Candidatus Peribacteria bacterium
GCA_001787555.1	Candidatus Peribacteria bacterium
GCA_001788915.1	Candidatus Peribacteria bacterium
GCA_001788925.1	Candidatus Peribacteria bacterium
GCA_001788955.1	Candidatus Peribacteria bacterium
GCA_001788965.1	Candidatus Peribacteria bacterium
GCA_001787565.1	Candidatus Peribacteria bacterium
GCA_001787585.1	Candidatus Peribacteria bacterium
GCA_001787615.1	Candidatus Peribacteria bacterium
GCA_001787625.1	Candidatus Peribacteria bacterium
GCA_001788995.1	Candidatus Peribacteria bacterium
GCA_001787635.1	Candidatus Peribacteria bacterium
GCA_001787675.1	Candidatus Peribacteria bacterium
GCA_001789005.1	Candidatus Peribacteria bacterium
GCA_001787695.1	Candidatus Peribacteria bacterium
GCA_001789035.1	Candidatus Peribacteria bacterium
GCA_001787705.1	Candidatus Peribacteria bacterium
GCA_001789045.1	Candidatus Peribacteria bacterium
GCA_001787725.1	Candidatus Peribacteria bacterium
GCA_001789075.1	Candidatus Peribacteria bacterium
GCA_001787755.1	Candidatus Peribacteria bacterium
GCA_001787775.1	Candidatus Peribacteria bacterium
GCA_001789085.1	Candidatus Peribacteria bacterium
GCA_001787795.1	Candidatus Peribacteria bacterium
GCA_001789115.1	Candidatus Peribacteria bacterium
GCA_001789125.1	Candidatus Peribacteria bacterium
GCA_001787805.1	Candidatus Peribacteria bacterium
GCA_001789165.1	Candidatus Peribacteria bacterium
GCA_001789155.1	Candidatus Peribacteria bacterium
GCA_001821635.1	Candidatus Portnoybacteria bacterium
GCA_001819435.1	Candidatus Portnoybacteria bacterium
GCA_001819475.1	Candidatus Portnoybacteria bacterium
GCA_001819495.1	Candidatus Portnoybacteria bacterium
GCA_001819505.1	Candidatus Portnoybacteria bacterium
GCA_001819535.1	Candidatus Portnoybacteria bacterium
GCA_001819555.1	Candidatus Portnoybacteria bacterium
GCA_001819575.1	Candidatus Portnoybacteria bacterium
GCA_001821655.1	Candidatus Portnoybacteria bacterium
GCA_001821675.1	Candidatus Portnoybacteria bacterium
GCA_001819585.1	Candidatus Portnoybacteria bacterium
GCA_001819605.1	Candidatus Portnoybacteria bacterium
GCA_001819635.1	Candidatus Portnoybacteria bacterium
GCA_001819655.1	Candidatus Portnoybacteria bacterium
GCA_001819665.1	Candidatus Portnoybacteria bacterium
GCA_001789205.1	Candidatus Raymondbacteria bacterium
GCA_001797525.1	Candidatus Raymondbacteria bacterium
GCA_001787835.1	Candidatus Raymondbacteria bacterium
GCA_001789275.1	Candidatus Raymondbacteria bacterium
GCA_001789195.1	Candidatus Raymondbacteria bacterium
GCA_001789215.1	Candidatus Raymondbacteria bacterium
GCA_001789245.1	Candidatus Raymondbacteria bacterium
GCA_001787855.1	Candidatus Riflebacteria bacterium
GCA_001787865.1	Candidatus Riflebacteria bacterium
GCA_001789285.1	Candidatus Roizmanbacteria bacterium
GCA_001789305.1	Candidatus Roizmanbacteria bacterium
GCA_001787885.1	Candidatus Roizmanbacteria bacterium
GCA_001789325.1	Candidatus Roizmanbacteria bacterium
GCA_001787915.1	Candidatus Roizmanbacteria bacterium
GCA_001789365.1	Candidatus Roizmanbacteria bacterium
GCA_001787935.1	Candidatus Roizmanbacteria bacterium
GCA_001787945.1	Candidatus Roizmanbacteria bacterium
GCA_001789355.1	Candidatus Roizmanbacteria bacterium
GCA_001787965.1	Candidatus Roizmanbacteria bacterium
GCA_001789395.1	Candidatus Roizmanbacteria bacterium
GCA_001789405.1	Candidatus Roizmanbacteria bacterium
GCA_001789435.1	Candidatus Roizmanbacteria bacterium
GCA_001787985.1	Candidatus Roizmanbacteria bacterium
GCA_001788015.1	Candidatus Roizmanbacteria bacterium
GCA_001788035.1	Candidatus Roizmanbacteria bacterium
GCA_001789445.1	Candidatus Roizmanbacteria bacterium
GCA_001789475.1	Candidatus Roizmanbacteria bacterium
GCA_001789485.1	Candidatus Roizmanbacteria bacterium
GCA_001789515.1	Candidatus Roizmanbacteria bacterium
GCA_001789535.1	Candidatus Roizmanbacteria bacterium
GCA_001788045.1	Candidatus Roizmanbacteria bacterium
GCA_001788055.1	Candidatus Roizmanbacteria bacterium
GCA_001788095.1	Candidatus Roizmanbacteria bacterium
GCA_001789545.1	Candidatus Roizmanbacteria bacterium
GCA_001789555.1	Candidatus Roizmanbacteria bacterium
GCA_001788115.1	Candidatus Roizmanbacteria bacterium
GCA_001788125.1	Candidatus Roizmanbacteria bacterium
GCA_001789595.1	Candidatus Roizmanbacteria bacterium
GCA_001789615.1	Candidatus Roizmanbacteria bacterium
GCA_001788135.1	Candidatus Roizmanbacteria bacterium
GCA_001789635.1	Candidatus Roizmanbacteria bacterium
GCA_001789645.1	Candidatus Roizmanbacteria bacterium
GCA_001789675.1	Candidatus Roizmanbacteria bacterium
GCA_001789695.1	Candidatus Roizmanbacteria bacterium
GCA_001789715.1	Candidatus Roizmanbacteria bacterium
GCA_001788165.1	Candidatus Roizmanbacteria bacterium
GCA_001788195.1	Candidatus Roizmanbacteria bacterium
GCA_001789725.1	Candidatus Roizmanbacteria bacterium
GCA_001789745.1	Candidatus Roizmanbacteria bacterium
GCA_001788215.1	Candidatus Roizmanbacteria bacterium
GCA_001789775.1	Candidatus Roizmanbacteria bacterium
GCA_001789795.1	Candidatus Roizmanbacteria bacterium
GCA_001789805.1	Candidatus Roizmanbacteria bacterium
GCA_001789815.1	Candidatus Roizmanbacteria bacterium
GCA_001789855.1	Candidatus Roizmanbacteria bacterium
GCA_001789885.1	Candidatus Roizmanbacteria bacterium
GCA_001788225.1	Candidatus Roizmanbacteria bacterium
GCA_001789875.1	Candidatus Roizmanbacteria bacterium
GCA_001789895.1	Candidatus Roizmanbacteria bacterium
GCA_001789935.1	Candidatus Roizmanbacteria bacterium
GCA_001789955.1	Candidatus Roizmanbacteria bacterium
GCA_001789965.1	Candidatus Roizmanbacteria bacterium
GCA_001789995.1	Candidatus Roizmanbacteria bacterium
GCA_001788235.1	Candidatus Roizmanbacteria bacterium
GCA_001790005.1	Candidatus Roizmanbacteria bacterium
GCA_001790035.1	Candidatus Roizmanbacteria bacterium
GCA_001790045.1	Candidatus Roizmanbacteria bacterium
GCA_001790075.1	Candidatus Roizmanbacteria bacterium
GCA_001790095.1	Candidatus Roizmanbacteria bacterium
GCA_001788275.1	Candidatus Roizmanbacteria bacterium
GCA_001790115.1	Candidatus Roizmanbacteria bacterium
GCA_001790125.1	Candidatus Roizmanbacteria bacterium
GCA_001790155.1	Candidatus Roizmanbacteria bacterium
GCA_001790165.1	Candidatus Roizmanbacteria bacterium
GCA_001790195.1	Candidatus Roizmanbacteria bacterium
GCA_001788295.1	Candidatus Roizmanbacteria bacterium
GCA_001788305.1	Candidatus Roizmanbacteria bacterium
GCA_001788325.1	Candidatus Roizmanbacteria bacterium
GCA_001788355.1	Candidatus Roizmanbacteria bacterium
GCA_001788375.1	Candidatus Roizmanbacteria bacterium
GCA_001788395.1	Candidatus Rokubacteria bacterium
GCA_001790205.1	Candidatus Rokubacteria bacterium
GCA_001788415.1	Candidatus Rokubacteria bacterium
GCA_001790235.1	Candidatus Rokubacteria bacterium
GCA_001788425.1	Candidatus Rokubacteria bacterium
GCA_001788445.1	Candidatus Rokubacteria bacterium
GCA_001790245.1	Candidatus Rokubacteria bacterium
GCA_001790275.1	Candidatus Rokubacteria bacterium
GCA_001788475.1	Candidatus Rokubacteria bacterium
GCA_001790285.1	Candidatus Rokubacteria bacterium
GCA_001788485.1	Candidatus Rokubacteria bacterium
GCA_001790315.1	Candidatus Rokubacteria bacterium
GCA_001788495.1	Candidatus Rokubacteria bacterium
GCA_001788535.1	Candidatus Rokubacteria bacterium
GCA_001788595.1	Candidatus Rokubacteria bacterium
GCA_001790335.1	Candidatus Rokubacteria bacterium
GCA_001790345.1	Candidatus Rokubacteria bacterium
GCA_001819695.1	Candidatus Ryanbacteria bacterium
GCA_001819715.1	Candidatus Ryanbacteria bacterium
GCA_001819735.1	Candidatus Ryanbacteria bacterium
GCA_001819745.1	Candidatus Ryanbacteria bacterium
GCA_001819775.1	Candidatus Ryanbacteria bacterium
GCA_001819785.1	Candidatus Ryanbacteria bacterium
GCA_001819815.1	Candidatus Ryanbacteria bacterium
GCA_001819835.1	Candidatus Ryanbacteria bacterium
GCA_001819855.1	Candidatus Ryanbacteria bacterium
GCA_001819875.1	Candidatus Ryanbacteria bacterium
GCA_001819895.1	Candidatus Ryanbacteria bacterium
GCA_001819905.1	Candidatus Ryanbacteria bacterium
GCA_001819935.1	Candidatus Ryanbacteria bacterium
GCA_001821685.1	Candidatus Ryanbacteria bacterium
GCA_001819945.1	Candidatus Ryanbacteria bacterium
GCA_001821715.1	Candidatus Ryanbacteria bacterium
GCA_001821725.1	Candidatus Ryanbacteria bacterium
GCA_001821755.1	Candidatus Ryanbacteria bacterium
GCA_001821765.1	Candidatus Ryanbacteria bacterium
GCA_001821795.1	Candidatus Ryanbacteria bacterium
GCA_001790365.1	Candidatus Saccharibacteria bacterium
GCA_001790385.1	Candidatus Saccharibacteria bacterium
GCA_001790415.1	Candidatus Saccharibacteria bacterium
GCA_001788555.1	Candidatus Saccharibacteria bacterium
GCA_001790435.1	Candidatus Saccharibacteria bacterium
GCA_001790455.1	Candidatus Saccharibacteria bacterium
GCA_001790445.1	Candidatus Saccharibacteria bacterium
GCA_001790495.1	Candidatus Saccharibacteria bacterium
GCA_001790515.1	Candidatus Saccharibacteria bacterium
GCA_001790535.1	Candidatus Saccharibacteria bacterium
GCA_001790525.1	Candidatus Saccharibacteria bacterium
GCA_001790575.1	Candidatus Saccharibacteria bacterium
GCA_001790595.1	Candidatus Saccharibacteria bacterium
GCA_001788565.1	Candidatus Saccharibacteria bacterium
GCA_001788605.1	Candidatus Saccharibacteria bacterium
GCA_001790625.1	Candidatus Saccharibacteria bacterium
GCA_001790615.1	Candidatus Saccharibacteria bacterium
GCA_001790645.1	Candidatus Schekmanbacteria bacterium
GCA_001790675.1	Candidatus Schekmanbacteria bacterium
GCA_001790695.1	Candidatus Schekmanbacteria bacterium
GCA_001788635.1	Candidatus Schekmanbacteria bacterium
GCA_001790715.1	Candidatus Schekmanbacteria bacterium
GCA_001790785.1	Candidatus Schekmanbacteria bacterium
GCA_001790855.1	Candidatus Schekmanbacteria bacterium
GCA_001790865.1	Candidatus Schekmanbacteria bacterium
GCA_001790895.1	Candidatus Shapirobacteria bacterium
GCA_001790735.1	Candidatus Shapirobacteria bacterium
GCA_001790745.1	Candidatus Shapirobacteria bacterium
GCA_001790765.1	Candidatus Shapirobacteria bacterium
GCA_001790905.1	Candidatus Shapirobacteria bacterium
GCA_001819975.1	Candidatus Spechtbacteria bacterium
GCA_001821805.1	Candidatus Spechtbacteria bacterium
GCA_001819985.1	Candidatus Spechtbacteria bacterium
GCA_001821835.1	Candidatus Spechtbacteria bacterium
GCA_001821845.1	Candidatus Spechtbacteria bacterium
GCA_001820015.1	Candidatus Spechtbacteria bacterium
GCA_001820035.1	Candidatus Spechtbacteria bacterium
GCA_001821885.1	Candidatus Spechtbacteria bacterium
GCA_001820055.1	Candidatus Spechtbacteria bacterium
GCA_001820065.1	Candidatus Staskawiczbacteria bacterium
GCA_001821875.1	Candidatus Staskawiczbacteria bacterium
GCA_001821925.1	Candidatus Staskawiczbacteria bacterium
GCA_001820095.1	Candidatus Staskawiczbacteria bacterium
GCA_001820115.1	Candidatus Staskawiczbacteria bacterium
GCA_001820135.1	Candidatus Staskawiczbacteria bacterium
GCA_001821915.1	Candidatus Staskawiczbacteria bacterium
GCA_001820145.1	Candidatus Staskawiczbacteria bacterium
GCA_001820175.1	Candidatus Staskawiczbacteria bacterium
GCA_001821935.1	Candidatus Staskawiczbacteria bacterium
GCA_001820195.1	Candidatus Staskawiczbacteria bacterium
GCA_001820215.1	Candidatus Staskawiczbacteria bacterium
GCA_001821945.1	Candidatus Staskawiczbacteria bacterium
GCA_001820225.1	Candidatus Staskawiczbacteria bacterium
GCA_001821995.1	Candidatus Staskawiczbacteria bacterium
GCA_001820255.1	Candidatus Staskawiczbacteria bacterium
GCA_001820275.1	Candidatus Staskawiczbacteria bacterium
GCA_001820305.1	Candidatus Staskawiczbacteria bacterium
GCA_001822005.1	Candidatus Staskawiczbacteria bacterium
GCA_001822055.1	Candidatus Staskawiczbacteria bacterium
GCA_001820325.1	Candidatus Staskawiczbacteria bacterium
GCA_001820295.1	Candidatus Staskawiczbacteria bacterium
GCA_001820355.1	Candidatus Staskawiczbacteria bacterium
GCA_001822025.1	Candidatus Staskawiczbacteria bacterium
GCA_001822065.1	Candidatus Staskawiczbacteria bacterium
GCA_001822075.1	Candidatus Staskawiczbacteria bacterium
GCA_001820375.1	Candidatus Staskawiczbacteria bacterium
GCA_001820395.1	Candidatus Staskawiczbacteria bacterium
GCA_001822135.1	Candidatus Staskawiczbacteria bacterium
GCA_001820405.1	Candidatus Staskawiczbacteria bacterium
GCA_001820435.1	Candidatus Staskawiczbacteria bacterium
GCA_001822095.1	Candidatus Staskawiczbacteria bacterium
GCA_001822145.1	Candidatus Staskawiczbacteria bacterium
GCA_001820445.1	Candidatus Staskawiczbacteria bacterium
GCA_001820475.1	Candidatus Staskawiczbacteria bacterium
GCA_001820555.1	Candidatus Staskawiczbacteria bacterium
GCA_001820485.1	Candidatus Staskawiczbacteria bacterium
GCA_001820515.1	Candidatus Staskawiczbacteria bacterium
GCA_001820535.1	Candidatus Staskawiczbacteria bacterium
GCA_001822165.1	Candidatus Staskawiczbacteria bacterium
GCA_001822155.1	Candidatus Staskawiczbacteria bacterium
GCA_001822235.1	Candidatus Staskawiczbacteria bacterium
GCA_001822245.1	Candidatus Sungbacteria bacterium
GCA_001820565.1	Candidatus Sungbacteria bacterium
GCA_001822215.1	Candidatus Sungbacteria bacterium
GCA_001822225.1	Candidatus Sungbacteria bacterium
GCA_001822295.1	Candidatus Sungbacteria bacterium
GCA_001822305.1	Candidatus Sungbacteria bacterium
GCA_001822325.1	Candidatus Sungbacteria bacterium
GCA_001822345.1	Candidatus Sungbacteria bacterium
GCA_001820595.1	Candidatus Sungbacteria bacterium
GCA_001820605.1	Candidatus Sungbacteria bacterium
GCA_001820635.1	Candidatus Sungbacteria bacterium
GCA_001820655.1	Candidatus Sungbacteria bacterium
GCA_001822375.1	Candidatus Sungbacteria bacterium
GCA_001820675.1	Candidatus Sungbacteria bacterium
GCA_001820685.1	Candidatus Sungbacteria bacterium
GCA_001820715.1	Candidatus Sungbacteria bacterium
GCA_001820725.1	Candidatus Sungbacteria bacterium
GCA_001822385.1	Candidatus Sungbacteria bacterium
GCA_001820755.1	Candidatus Sungbacteria bacterium
GCA_001822415.1	Candidatus Sungbacteria bacterium
GCA_001822425.1	Candidatus Sungbacteria bacterium
GCA_001820785.1	Candidatus Sungbacteria bacterium
GCA_001822455.1	Candidatus Sungbacteria bacterium
GCA_001820775.1	Candidatus Sungbacteria bacterium
GCA_001820815.1	Candidatus Tagabacteria bacterium
GCA_001822475.1	Candidatus Tagabacteria bacterium
GCA_001820825.1	Candidatus Taylorbacteria bacterium
GCA_001822505.1	Candidatus Taylorbacteria bacterium
GCA_001822495.1	Candidatus Taylorbacteria bacterium
GCA_001820855.1	Candidatus Taylorbacteria bacterium
GCA_001820875.1	Candidatus Taylorbacteria bacterium
GCA_001820885.1	Candidatus Taylorbacteria bacterium
GCA_001820905.1	Candidatus Taylorbacteria bacterium
GCA_001820935.1	Candidatus Taylorbacteria bacterium
GCA_001822535.1	Candidatus Taylorbacteria bacterium
GCA_001820955.1	Candidatus Taylorbacteria bacterium
GCA_001822555.1	Candidatus Taylorbacteria bacterium
GCA_001822575.1	Candidatus Taylorbacteria bacterium
GCA_001820965.1	Candidatus Taylorbacteria bacterium
GCA_001822595.1	Candidatus Taylorbacteria bacterium
GCA_001820985.1	Candidatus Taylorbacteria bacterium
GCA_001821015.1	Candidatus Taylorbacteria bacterium
GCA_001822615.1	Candidatus Taylorbacteria bacterium
GCA_001821035.1	Candidatus Taylorbacteria bacterium
GCA_001821055.1	Candidatus Taylorbacteria bacterium
GCA_001821065.1	Candidatus Taylorbacteria bacterium
GCA_001822625.1	Candidatus Taylorbacteria bacterium
GCA_001821095.1	Candidatus Taylorbacteria bacterium
GCA_001822655.1	Candidatus Taylorbacteria bacterium
GCA_001822675.1	Candidatus Taylorbacteria bacterium
GCA_001821115.1	Candidatus Taylorbacteria bacterium
GCA_001821135.1	Candidatus Taylorbacteria bacterium
GCA_001821155.1	Candidatus Taylorbacteria bacterium
GCA_001821165.1	Candidatus Taylorbacteria bacterium
GCA_001821185.1	Candidatus Taylorbacteria bacterium
GCA_001821215.1	Candidatus Taylorbacteria bacterium
GCA_001822695.1	Candidatus Taylorbacteria bacterium
GCA_001821235.1	Candidatus Taylorbacteria bacterium
GCA_001821245.1	Candidatus Taylorbacteria bacterium
GCA_001821305.1	Candidatus Taylorbacteria bacterium
GCA_001821275.1	Candidatus Taylorbacteria bacterium
GCA_001821295.1	Candidatus Taylorbacteria bacterium
GCA_001822705.1	Candidatus Taylorbacteria bacterium
GCA_001822735.1	Candidatus Taylorbacteria bacterium
GCA_001822755.1	Candidatus Taylorbacteria bacterium
GCA_001822765.1	Candidatus Taylorbacteria bacterium
GCA_001824735.1	Candidatus Taylorbacteria bacterium
GCA_001822795.1	Candidatus Taylorbacteria bacterium
GCA_001790935.1	Candidatus Tectomicrobia bacterium
GCA_001790955.1	Candidatus Tectomicrobia bacterium
GCA_001822815.1	Candidatus Terrybacteria bacterium
GCA_001822835.1	Candidatus Terrybacteria bacterium
GCA_001822855.1	Candidatus Terrybacteria bacterium
GCA_001824715.1	Candidatus Terrybacteria bacterium
GCA_001822865.1	Candidatus Terrybacteria bacterium
GCA_001822895.1	Candidatus Terrybacteria bacterium
GCA_001822905.1	Candidatus Terrybacteria bacterium
GCA_001822935.1	Candidatus Terrybacteria bacterium
GCA_001824745.1	Candidatus Terrybacteria bacterium
GCA_001822945.1	Candidatus Terrybacteria bacterium
GCA_001790975.1	Candidatus Uhrbacteria bacterium
GCA_001790985.1	Candidatus Uhrbacteria bacterium
GCA_001791005.1	Candidatus Uhrbacteria bacterium
GCA_001791045.1	Candidatus Uhrbacteria bacterium
GCA_001790815.1	Candidatus Uhrbacteria bacterium
GCA_001791055.1	Candidatus Uhrbacteria bacterium
GCA_001790825.1	Candidatus Uhrbacteria bacterium
GCA_001791035.1	Candidatus Uhrbacteria bacterium
GCA_001791065.1	Candidatus Uhrbacteria bacterium
GCA_001791115.1	Candidatus Uhrbacteria bacterium
GCA_001791135.1	Candidatus Uhrbacteria bacterium
