genome_name,name,Completeness,Contamination,ncbi_lineage,gtdb_taxonomy,Phyla,Group,strain,biosample,bioproject,study,reference,code,accession,assemly_status,size,gc,replicons,wgs,scaffolds,cds,release_date,genbank_ftp,refseq_ftp
GCA_003245785.1,Spirochaetales bacterium,90.24,1.48,Bacteria;Spirochaetes;Spirochaetia,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Treponemataceae;g__Spiro-10;s__Spiro-10 sp003245785,Spirochaetes,Spirochaetes,SZUA-416,SAMN09287964,PRJNA385762,Hydrothermal Vent metagenome,NA,Hydrothermal Vent,GCA_003245785.1,Scaffold,3.32139,62.5,,QKCE01,353,0,2018-06-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/245/785/GCA_003245785.1_ASM324578v1,
GCA_001749745.1,Candidatus Marispirochaeta associata,99.93,8.69,Bacteria;Spirochaetes;Spirochaetia,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Spirochaetales;f__Marispirochaetaceae;g__Marispirochaeta;s__Marispirochaeta associata,Spirochaetes,Spirochaetes,JC231,SAMN03267223,PRJNA270388,Isolate sequencing,NA,Isolate,GCA_001749745.1,Contig,5.24805,55.7,,JWTM01,629,4718,2016-09-29T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/749/745/GCA_001749745.1_ASM174974v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/749/745/GCF_001749745.1_ASM174974v1
GCA_002327925.1,Anaerolineales bacterium UBA2200,77.98,0.18,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA2200;s__UBA2200 sp002327925,Chloroflexi,Chloroflexi,UBA2200,SAMN06453951,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002327925.1,Scaffold,2.80578,62.1,,DCVA01,54,0,2017-09-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/327/925/GCA_002327925.1_ASM232792v1,
GCA_000422205.1,Desulfovibrio sp. X2,99.41,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__Desulfohalovibrio;s__Desulfohalovibrio sp000422205,Deltaproteobacteria,Deltaproteobacteria,X2,SAMN02207452,PRJNA208571,Isolate sequencing,Brown et al. 2013,Isolate,GCA_000422205.1,Contig,3.91229,68,,ATHV01,66,3395,2013-07-11T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/422/205/GCA_000422205.1_Desulfococcus_X2_v1.0,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/422/205/GCF_000422205.1_Desulfococcus_X2_v1.0
GCA_001795535.1,Deltaproteobacteria bacterium GWA2_54_12,65.39,2,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__GWC2-55-46;c__GWC2-55-46;o__GWC2-55-46;f__GWC2-55-46;g__GWA2-54-12;s__GWA2-54-12 sp001795535,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314173,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001795535.1,Scaffold,2.07581,54,,MGPK01,77,1845,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/795/535/GCA_001795535.1_ASM179553v1,
GCA_002452125.1,Firmicutes bacterium UBA6827,99.07,2.1,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Sedimentibacteraceae;g__Sedimentibacter;s__Sedimentibacter sp002340985,Firmicutes,Firmicutes,UBA6827,SAMN06450755,PRJNA348753,Parks 2017 UBA reassembly,New York City MTA subway samples Metagenome,Built_Environment,GCA_002452125.1,Scaffold,3.38685,38.1,,DKEH01,36,0,2017-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/452/125/GCA_002452125.1_ASM245212v1,
GCA_001803945.1,Nitrospirae bacterium RIFOXYA2_FULL_44_9,94.55,0.91,Bacteria;Nitrospirae;unclassified Nitrospirae,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA1546;g__UBA1546;s__UBA1546 sp001805105,Nitrospirae,Nitrospirae,,SAMN04314343,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001803945.1,Scaffold,1.93318,43.6,,MHEW01,53,1885,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/803/945/GCA_001803945.1_ASM180394v1,
GCA_000769715.1,Desulfobulbus sp. Tol-SR,95.71,1.19,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfocapsaceae;g__Tol-SR;s__Tol-SR sp000769715,Deltaproteobacteria,Deltaproteobacteria,,SAMN02991556,PRJNA258302,Isolate sequencing,Abu Laban et al. 2015,Isolate,GCA_000769715.1,Scaffold,4.21178,59.3,,JROS01,203,3201,2014-10-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/769/715/GCA_000769715.1_ASM76971v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/769/715/GCF_000769715.1_ASM76971v1
GCA_002419525.1,Syntrophaceae bacterium UBA5726,83.82,1.94,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__Syntrophaceae;g__Syntrophus;s__Syntrophus aciditrophicus,Deltaproteobacteria,Deltaproteobacteria,UBA5726,SAMN06452025,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002419525.1,Scaffold,2.56334,51.3,,DIGI01,91,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/419/525/GCA_002419525.1_ASM241952v1,
GCA_002897615.1,bacterium BMS3Bbin14,95.24,0.6,Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous),d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__BMS3Abin13;s__BMS3Abin13 sp002897615,unclassified,Other,BMS3Bbin14,SAMD00081391,PRJDB5792,Marine metagenome,Kato et al. 2018,Marine,GCA_002897615.1,Contig,2.71072,55.7,,BDTX01,30,2305,2017-12-14T21:15:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/615/GCA_002897615.1_ASM289761v1,
GCA_003161685.1,Nitrospiraceae bacterium,85.85,2.1,Bacteria;Nitrospirae;Nitrospira,d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__UBA9935;g__Fen-1308;s__Fen-1308 sp003170655,Nitrospirae,Nitrospirae,fen_1305,SAMN08178771,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003161685.1,Scaffold,3.45901,48.2,,PMNY01,573,0,2018-05-25T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/161/685/GCA_003161685.1_20110600_E3S,
GCA_002435875.1,Anaerolineales bacterium UBA6131,83.85,2.48,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__UBA2200;f__UBA2200;g__UBA6131;s__UBA6131 sp002435875,Chloroflexi,Chloroflexi,UBA6131,SAMN06452783,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002435875.1,Scaffold,2.89464,59.7,,DIVN01,286,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/435/875/GCA_002435875.1_ASM243587v1,
GCA_003612835.1,Ethanoligenens harbinense,97.32,0.34,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Ethanoligenenaceae;g__Ethanoligenens;s__Ethanoligenens harbinense,Firmicutes,Firmicutes,B49,SAMN08159212,PRJNA421864,Isolate sequencing,NA,Isolate,GCA_003612835.1,Complete,2.97463,55.6,chromosome:NZ_CP025287.1/CP025287.1,,1,2722,2018-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/612/835/GCA_003612835.1_ASM361283v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/835/GCF_003612835.1_ASM361283v1
GCA_002428705.1,Desulfovibrio sp. UBA6079,100,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota_A;c__Desulfovibrionia;o__Desulfovibrionales;f__Desulfovibrionaceae;g__UBA6079;s__UBA6079 sp002428705,Deltaproteobacteria,Deltaproteobacteria,UBA6079,SAMN06455611,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002428705.1,Scaffold,4.5417,67.3,,DIXN01,72,0,2017-10-04T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/428/705/GCA_002428705.1_ASM242870v1,
GCA_002897815.1,bacterium BMS3Abin07,85.45,0,Bacteria;unclassified Bacteria;unclassified Bacteria (miscellaneous),d__Bacteria;p__Nitrospirota;c__Thermodesulfovibrionia;o__Thermodesulfovibrionales;f__BMS3Bbin05;g__BMS3Bbin05;s__BMS3Bbin05 sp002897855,unclassified,Other,BMS3Abin07,SAMD00081367,PRJDB5792,Marine metagenome,Kato et al. 2020,Marine,GCA_002897815.1,Contig,2.68993,44.4,,BDSZ01,80,2590,2017-12-14T21:21:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/897/815/GCA_002897815.1_ASM289781v1,
GCA_001796365.1,Chloroflexi bacterium GWC2_49_37,99.09,0.91,Bacteria;Terrabacteria group;Chloroflexi,d__Bacteria;p__Chloroflexota;c__Anaerolineae;o__Anaerolineales;f__envOPS12;g__UBA12087;s__UBA12087 sp001796335,Chloroflexi,Chloroflexi,,SAMN04313847,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001796365.1,Scaffold,3.40629,48.2,,MGMH01,35,3070,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/796/365/GCA_001796365.1_ASM179636v1,
GCA_002452655.1,Firmicutes bacterium UBA6813,82.94,0.63,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfotomaculia;o__Desulfotomaculales;f__Nap2-2B;g__46-80;s__46-80 sp003513005,Firmicutes,Firmicutes,UBA6813,SAMN06456987,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002452655.1,Scaffold,2.4635,45.4,,DKEV01,266,0,2017-10-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/452/655/GCA_002452655.1_ASM245265v1,
GCA_002410325.1,Syntrophomonas sp. UBA5314,99.22,4.41,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA5314;s__UBA5314 sp002410325,Firmicutes,Firmicutes,UBA5314,SAMN06453317,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002410325.1,Scaffold,4.00605,49.6,,DHRK01,72,0,2017-10-03T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/410/325/GCA_002410325.1_ASM241032v1,
GCA_003142255.1,Bacteroidales bacterium,97.62,2.14,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__vadinHA17;g__LD21;s__LD21 sp003142255,Bacteroidetes,Bacteroidetes,fen_984,SAMN08180153,PRJNA386568,peat/permafrost metagenom,Woodcroft et al. 2018,Wetlands,GCA_003142255.1,Scaffold,3.72917,41.8,,PLLO01,19,0,2018-05-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/003/142/255/GCA_003142255.1_20120800_E3X,
GCA_000179315.1,delta proteobacterium NaphS2,94.52,2.39,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfatiglandales;f__NaphS2;g__NaphS2;s__NaphS2 sp000179315,Deltaproteobacteria,Deltaproteobacteria,NaphS2,SAMN02436561,PRJNA46635,Isolate sequencing,DeDonoto et al. 2010,Isolate,GCA_000179315.1,Contig,6.55472,49.8,,ADZZ01,810,5981,2010-07-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/179/315/GCA_000179315.1_ASM17931v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/179/315/GCF_000179315.1_ASM17931v1
GCA_002093115.1,Geothermobacter sp. EPR-M,99.35,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geothermobacteraceae;g__Geothermobacter;s__Geothermobacter sp002093115,Deltaproteobacteria,Deltaproteobacteria,EPR-M,SAMN06608517,PRJNA379452,Isolate sequencing,NA,Isolate,GCA_002093115.1,Contig,3.73005,59.4,,NAAD01,59,3249,2017-04-17T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/093/115/GCA_002093115.1_ASM209311v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/093/115/GCF_002093115.1_ASM209311v1
GCA_000426865.1,Geobacter bremensis R1,100,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Geobacterales;f__Geobacteraceae;g__Geobacter_A;s__Geobacter_A bremensis,Deltaproteobacteria,Deltaproteobacteria,R1,SAMN02441174,PRJNA195887,JGI Isolate sequencing,NA,Isolate,GCA_000426865.1,Scaffold,4.65103,60.3,,AUGE01,82,4001,2013-07-10T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/426/865/GCA_000426865.1_ASM42686v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/426/865/GCF_000426865.1_ASM42686v1
GCA_001771695.1,candidate division WOR-1 bacterium RIFOXYC2_FULL_46_14,89.32,0.85,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__XYC2-FULL-46-14;f__XYC2-FULL-46-14;g__XYC2-FULL-46-14;s__XYC2-FULL-46-14 sp001771585,WOR6,Other,,SAMN04314559,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001771695.1,Scaffold,1.69578,46.3,,MEUJ01,12,1631,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/771/695/GCA_001771695.1_ASM177169v1,
GCA_001830615.1,Spirochaetes bacterium GWE1_60_18,96.55,2.87,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__UBA12059;g__UBA12059;s__UBA12059 sp001829185,Spirochaetes,Spirochaetes,,SAMN04313956,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001830615.1,Scaffold,3.61853,60.5,,MIAZ01,79,2889,2016-10-21T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/830/615/GCA_001830615.1_ASM183061v1,
GCA_900143645.1,Anaerocolumna xylanovorans DSM 12503,99.11,3.02,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerocolumna;s__Anaerocolumna xylanovorans,Firmicutes,Firmicutes,DSM 12503,SAMN02745217,PRJEB18518,JGI Isolate sequencing,NA,Isolate,GCA_900143645.1,Scaffold,5.42033,40.2,,FRFD01,23,4562,2016-12-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/143/645/GCA_900143645.1_IMG-taxon_2582580727_annotated_assembly,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/143/645/GCF_900143645.1_IMG-taxon_2582580727_annotated_assembly
GCA_002398325.1,Syntrophomonas sp. UBA4894,83.8,2.7,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Syntrophomonadia;o__Syntrophomonadales;f__Syntrophomonadaceae;g__UBA4851;s__UBA4851 sp002408445,Firmicutes,Firmicutes,UBA4894,SAMN06455968,PRJNA348753,Parks 2017 UBA reassembly,Pit mud of Chinese liqour fermentation reactorMetagenome,Sediment,GCA_002398325.1,Scaffold,3.38373,43.9,,DHCU01,207,0,2017-09-28T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/398/325/GCA_002398325.1_ASM239832v1,
GCA_002869615.1,Desulfuromonas sp.,99.35,0.65,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__UBA2294;g__BM707;s__BM707 sp002869615,Deltaproteobacteria,Deltaproteobacteria,BM707,SAMN07982693,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002869615.1,Scaffold,3.07922,53.1,,PKUH01,121,2867,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/615/GCA_002869615.1_ASM286961v1,
GCA_001797945.1,Deltaproteobacteria bacterium RBG_16_58_17,90,1.29,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophia;o__Syntrophales;f__UBA5619;g__UBA5619;s__UBA5619 sp001830835,Deltaproteobacteria,Deltaproteobacteria,,SAMN04313708,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001797945.1,Scaffold,2.40935,55.9,,MGQV01,117,2022,2016-10-20T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/797/945/GCA_001797945.1_ASM179794v1,
GCA_000186885.1,Desulfobulbus propionicus DSM 2032,99.15,0,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfobulbia;o__Desulfobulbales;f__Desulfobulbaceae;g__Desulfobulbus;s__Desulfobulbus propionicus,Deltaproteobacteria,Deltaproteobacteria,DSM 2032,SAMN00713581,PRJNA32993,Isolate sequencing,Pagani et al. 2011,Isolate,GCA_000186885.1,Complete,3.85187,58.9,chromosome:CP002364.1,,1,3283,2011-01-27T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/186/885/GCA_000186885.1_ASM18688v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/186/885/GCF_000186885.1_ASM18688v1
GCA_002304835.1,Firmicutes bacterium UBA1422,83.6,0,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Peptostreptococcales;f__Anaerovoracaceae;g__UBA1422;s__UBA1422 sp002304835,Firmicutes,Firmicutes,UBA1422,SAMN06456898,PRJNA348753,Parks 2017 UBA reassembly,Metagenomic study of the microbial genes abundance in treated palm oil mill effluent,Engineered,GCA_002304835.1,Scaffold,1.45589,42.4,,DBPK01,30,0,2017-09-15T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/304/835/GCA_002304835.1_ASM230483v1,
GCA_002839285.1,Spirochaetae bacterium HGW-Spirochaetae-5,94.38,3.37,Bacteria;Spirochaetes;unclassified Spirochaetes,d__Bacteria;p__Spirochaetota;c__UBA4802;o__UBA4802;f__UBA5550;g__UBA5550;s__UBA5550 sp002839285,Spirochaetes,Spirochaetes,HGW-Spirochaetae-5,SAMN06767754,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002839285.1,Scaffold,4.71155,39.1,,PGXT01,309,4305,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/839/285/GCA_002839285.1_ASM283928v1,
GCA_001618385.1,Paludibacter jiangxiensis,100,0.54,Bacteria;FCB group;Bacteroidetes/Chlorobi group,d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__Paludibacter_A;s__Paludibacter_A jiangxiensis,Bacteroidetes,Bacteroidetes,NM7,SAMD00049477,PRJDB4691,Isolate sequencing,Qui et al. 2014,Isolate,GCA_001618385.1,Contig,3.66488,42.9,,BDCR01,4,2879,2016-04-06T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/618/385/GCA_001618385.1_ASM161838v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/618/385/GCF_001618385.1_ASM161838v1
GCA_002774365.1,Candidatus Saganbacteria bacterium CG08_land_8_20_14_0_20_45_16,88.89,3.42,Bacteria;Terrabacteria group;Cyanobacteria/Melainabacteria group,d__Bacteria;p__Margulisbacteria;c__WOR-1;o__O2-12-FULL-45-9;f__O2-12-FULL-45-9;g__GCA-2774365;s__GCA-2774365 sp002774365,Candidatus Saganbacteria,Other,CG08_land_8_20_14_0_20_45_16,SAMN06659291,PRJNA362739,aquifer metagenome,Probst et al. 2039,Subsurface,GCA_002774365.1,Scaffold,1.77972,44.7,,PEYM01,148,1751,2017-11-14T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/774/365/GCA_002774365.1_ASM277436v1,
GCA_002841395.1,Firmicutes bacterium HGW-Firmicutes-9,98.23,0,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Christensenellales;f__CAG-138;g__UBA7703;s__UBA7703 sp002841395,Firmicutes,Firmicutes,HGW-Firmicutes-9,SAMN06767709,PRJNA321556,groundwater metagenome/Subsurface,Hernsdorf et al. 2017,Subsurface,GCA_002841395.1,Scaffold,3.16809,54.4,,PGZM01,14,2857,2017-12-13T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/841/395/GCA_002841395.1_ASM284139v1,
GCA_000931935.2,Dethiosulfatarculus sandiegensis,99.35,3.39,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Desulfarculia;o__Desulfarculales;f__Desulfarculaceae;g__Dethiosulfatarculus;s__Dethiosulfatarculus sandiegensis,Deltaproteobacteria,Deltaproteobacteria,SPR,SAMN02419822,PRJNA229756,Isolate sequencing,NA,Isolate,GCA_000931935.2,Scaffold,5.93499,52.1,,AZAC01,82,4914,2015-02-23T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/931/935/GCA_000931935.2_ASM93193v2,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/931/935/GCF_000931935.2_ASM93193v2
GCA_002298165.1,Desulfarculales bacterium UBA702,96.94,1.45,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfobacterota;c__Syntrophobacteria;o__Syntrophobacterales;f__Syntrophobacteraceae;g__UBA696;s__UBA696 sp002298165,Deltaproteobacteria,Deltaproteobacteria,UBA702,SAMN06453163,PRJNA348753,Parks 2017 UBA reassembly,Comparative metagenome analyses of anode-associated microbial communities developed in Wetlands field-soil microbial fuel cells,Wetlands,GCA_002298165.1,Scaffold,4.62676,52,,DBMI01,119,0,2017-09-12T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/298/165/GCA_002298165.1_ASM229816v1,
GCA_002869665.1,Desulfuromonas sp.,90,2.1,Bacteria;Proteobacteria;delta/epsilon subdivisions,d__Bacteria;p__Desulfuromonadota;c__Desulfuromonadia;o__Desulfuromonadales;f__Geopsychrobacteraceae;g__BM522;s__BM522 sp002869665,Deltaproteobacteria,Deltaproteobacteria,BM522,SAMN07982692,PRJNA387015,bioreactor metagenome,NA,Engineered,GCA_002869665.1,Scaffold,3.12031,56.2,,PKUG01,203,2883,2018-01-09T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/869/665/GCA_002869665.1_ASM286966v1,
GCA_002347365.1,Actinobacteria bacterium UBA2279,94.31,2.22,Bacteria;Terrabacteria group;Actinobacteria,d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__OPB41;f__UBA2279;g__UBA2279;s__UBA2279 sp002347365,Actinobacteria,Actinobacteria,UBA2279,SAMN06456530,PRJNA348753,Parks 2017 UBA reassembly,Hydrocarbon Metagenome,Hydrocarbon_Contaminated_Site,GCA_002347365.1,Scaffold,2.25342,62.8,,DDWT01,36,0,2017-09-22T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/347/365/GCA_002347365.1_ASM234736v1,
GCA_001770075.1,Bdellovibrionales bacterium RIFOXYC1_FULL_54_43,85.37,3.65,Bacteria;Proteobacteria;Oligoflexia,d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__UBA1018;f__UBA1018;g__XYD1-FULL-55-31;s__XYD1-FULL-55-31 sp001770175,Deltaproteobacteria,Deltaproteobacteria,,SAMN04314549,PRJNA288027,Subsurface,Anantharaman et al. 2016,Subsurface,GCA_001770075.1,Scaffold,3.65899,54.5,,MEQD01,508,3116,2016-10-18T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/001/770/075/GCA_001770075.1_ASM177007v1,
GCA_002196785.1,Desulfosporosinus sp. FKA,99.94,3.49,Bacteria;Terrabacteria group;Firmicutes,d__Bacteria;p__Firmicutes_B;c__Desulfitobacteriia;o__Desulfitobacteriales;f__Desulfitobacteriaceae;g__Desulfosporosinus;s__Desulfosporosinus acididurans,Firmicutes,Firmicutes,FKA,SAMN06610394,PRJNA379503,Isolate sequencing,NA,Isolate,GCA_002196785.1,Contig,4.89109,41.6,,NAHZ01,34,4480,2017-06-16T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/002/196/785/GCA_002196785.1_ASM219678v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/196/785/GCF_002196785.1_ASM219678v1
GCA_000739515.1,Candidatus Moduliflexus flocculans,90.35,8.06,Bacteria;unclassified Bacteria;Candidatus Moduliflexus,d__Bacteria;p__Moduliflexota;c__Moduliflexia;o__Moduliflexales;f__Moduliflexaceae;g__Moduliflexus;s__Moduliflexus flocculans,unclassified,Other,,SAMD00016904,PRJDB2871,uncultured KSB3 bacterium population genome,Sekiguchi et al. peerj,Engineered,GCA_000739515.1,Scaffold,7.14716,50.5,,BAYY01,8,5966,2014-08-05T00:00:00Z,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/739/515/GCA_000739515.1_ASM73951v1,ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/739/515/GCF_000739515.1_ASM73951v1
